Table 1,,,,,,,,
,,,,,,,,
,Rank,Drug (brand name),"Sales, 2013",side effects,,,,
,40,Nasonex,"$1,137,402,455","headache,viral infection,sore throat,nosebleeds,coughing, fever,pain, aches, chills, tiredness,nausea,vomiting,cataracts,glaucoma",,,,
,41,Victoza 3-Pak,"$1,104,811,637","headache,nausea,diarrhea,hives,hypoglycemia",,,,
,42,Cialis,"$1,086,355,583","headache,stomach pain,indigestion,back pain,muscle aches,flushing,runny nose, loss of vision,loss of hearing",,,,
,43,Gilenya,"$1,059,346,323","shortness of breath,high blod pressure,headache,flu,diarrhea,back pain,cough, abnormal liver tests",,,,
,44,Flovent Hfa,"$1,050,009,900","allergic reaction,slow growth in children,rash,breathing problems,cold,respiratory infection,throat infection,nausea,vomiting,fever,headache,ear infection",,,,
,45,Procrit,"$1,030,419,958","joint pain,muscle pain,bone pain,fever,rash,nausea,vomiting,soreness of mouth,itching,headache,injection site pain",,,,
,46,Isentress,"$1,014,678,055","nausea,headache,dizziness,insomnia,fatigue",,,,
,47,Xarelto,"$996,441,091","stomach pain,upset stomach,fatigue,urinary tract infection,bleeding event,back pain, arthritis,throat pain,muscle spasm.blister,",,,,
,48,Prezista,"$992,087,940","diarrhea,nausea,rash,headache,stomach ache, vomiting",,,,
,49,Janumet,"$987,663,598","stuffy nose, sore throat,respiratory infection, nausea,vomiting,indigestion,gas,stomach ache,weakness,headache,low blood sugar",,,,
,50,Stelara,"$965,072,892","Headache,fatigue,diarrhea,back pain,dizziness,sore throat,depression",,,,
,51,Neupogen,"$958,807,372","bone pain, muscle ache,injection site reaction",,,,
,52,Orencia,"$957,680,500","headache, upper respiratory infection,sore throat,nausea",,,,
,53,Renvela,"$955,330,199","vomiting,nausea,diarrhea,indigestion,stomach pain,gas,contipation",,,,
,54,Reyataz,"$934,879,388","rash,nausea,stomach ache,diarrhea,depression,fever,dizziness,insomnia,numbness,tingling,burning of hands or feet,muscle pain",,,,
,55,Vesicare,"$933,311,254","dry mouth,constipation,indigestion",,,,
,56,Dexilant,"$916,401,204","diarrhea,stomach pain,nausea, cold,vomiting,gas",,,,
,57,Tecfidera,"$879,673,483","flushing,stomach problems",,,,
,58,Humalog Kwikpen,"$879,632,962","Low Blood Sugar,low potassium,weight gain",,,,
,59,Synthroid,"$858,725,708","hair loss,fatigue,weight loss,fever,excessive sweating,headache,nervousness,anxiety,insomnia,tremors,muscle weakness,palpitations,diarrhea,vomiting,stomach ache,menstrual irregularities, impaired fertility",,,,
,60,Vytorin,"$858,576,112","Headache,muscle pain,diarrhea,rash,joint pain,nausea,dizziness,depression,gallstones,insomnia,confusion,memory loss",,,,
,61,Lunesta,"$851,791,226","bad taste,dry mouth,dizziness,morning drowsiness,headache,cold",,,,
,62,Pradaxa,"$836,573,805","indigestion,stomach ache",,,,
,63,Benicar,"$832,276,970","dizziness,upper respiratory infection,nausea,too much uric acid in blood",,,,
,64,Evista,"$823,647,433","hot flashes,leg cramps,peripheral edema,flu symptoms,sweating, joint pain",,,,
,65,Xolair,"$821,783,471","joint pain,leg pain,fatigue,arm pain,itching,inflammation of the skin,earache,fracture,injection site reaction,upper respiratory infection,sore throat",,,,
,66,Aranesp,"$809,245,700","shortness of breath,cough,low blood pressure during dialysis,stomach ache,edema",,,,
,67,Prevnar 13,"$806,129,346","tenderness at injection site,redness at injection site,irritability,decreased appetite,insomnia,increased sleep,fever,limitation of arm movement,headache,muscle pain,joint pain,decreased appetite,chills,rash",,,,
,68,Sensipar,"$786,320,942","nausea,vomiting,diarrhea",,,,
,69,Xgeva,"$785,725,436","tiredness,weakness,low phosphate level in blood, nausea, shortness of breath",,,,
,70,Invega Sustenna,"$779,834,172","injection site reaction,sleepiness,dizziness,restlessness,abrnormal muscle movements,tremor,shuffling,uncontrolled involuntary movements,abnormal eye movement",,,,
,71,Zytiga,"$775,269,249","weakness,joint swelling, joint pain,hot flushes,diarrhea,vomiting,cough,high blood pressure,shortness of breath,urinary tract infection,bruising,low red blood cells,abnormal blood tests",,,,
,72,Avonex Pen,"$768,655,140","flu symptoms,muscle aches, fever,tiredness,chills,depression,suicidal thoughts,hallucinations,allergic reaction,skin reaction",,,,
,73,Synagis,"$767,786,422","allergic reaction,unusual bruising,red spots on skin,injection site reaction,redness, swelling warmth,discomfort, fever,rash",,,,
,74,Betaseron,"$767,648,290","low white blood cell count,increase in liver enzymes,headache,muscle tension,muscle pain,rash,insomnia,stomach pain,weakness",,,,
,75,Xeloda,"$754,133,787","diarrhea,nausea,vomiting,sores in mouth,sores in throat,stomach pain,constipation,indigestion,loss of appetite,hand and foot syndrome,rash,dry skin,itchy skin,discolored skin,nail problems,hair loss,tiredness,weakness,dizziness,headache,fever,pain,trouble sleeping,taste problems",,,,
,76,Ventolin Hfa,"$745,629,470","heart palpitations,chest pain,fast heart rate,shakiness,nervousness,headache,pain,dizziness,sore throat,runny nose",,,,
,77,Zyvox,"$726,184,205","diarrhea,nausea,headache",,,,
,78,Afinitor,"$721,629,719","mouth ulcers,mouth sores,infections,fatigue,cough,shortness of breath,skin problems,rash,acne,dry skin,nausea,vomiting,fever,loss of appetite, weight loss,bad taste,dry mouth,headache,inflammation of digestive system,nose bleeds,pain in arms,pain in legs,low red blood cells,low white blood cell,low platelets, increase cholesterol level,high blood pressure, difficulty sleeping,insomnia,hair loss,muscle spasms,dizziness,nail disorders,anxiety,aggression",,,,
,79,Gardasil,"$710,208,856","pain,swelling,injection bruising,redness at injection site,headache,nausea,fever,dizziness,vomiting,fainting,",,,,
,80,Zostavax,"$705,140,729","redness,pain,itching,swelling,hard lump,warmth at injection site,bruising at injection site,headache",,,,
,81,Incivek,"$701,317,408","skin rash,itching,nausea,diarrhea,vomiting,hemorrhoids,taste changes,tiredness",,,,
,82,Sandostatin Lar,"$697,961,265","diarrhea,gallstones,abdominal pain,gas,flatulence,back pain,fatigue,headache,stomach pain,nausea,dizziness",,,,
,83,Aciphex,"$683,359,951","stomach pain,gas,infection,constipation,sore throat,headache,diarrhea,nausea,",,,,
,84,Benicar Hct,"$681,353,719","dizziness,upper respiratory infection,more uric acid in blood,nausea",,,,
,85,Bystolic,"$681,318,227","dizziness,diarrhea,nausea,headache,fatigue,chest pain,rash,peripheral edema,low heart rate,shortness of breath",,,,
,86,Treanda,"$679,052,250","fever,nausea,vomiting,anemia,thrombocytopenia,lymphophenia,leukopenia",,,,
,87,Focalin Xr,"$660,161,202","headache, stomach ache,insomnia,anxiety,decreased appetite,dry mouth,dizziness,nervousness",,,,
,88,Erbitux,"$648,984,405","rash,nail disorder,shortness of breath,nausea,infection,dry skin,fatigue,diarrhea",,,,
,89,Tamiflu,"$641,134,799","rash,nausea,vomiting,diarrhea,headache,stomach pain,dizziness",,,,
,90,Tarceva,"$640,597,157","rash,diarrhea,nausea,nail disorders, hair loss,cough,shortness of breath,loss of appetite,fatigue",,,,
,91,Pristiq,"$632,619,542","nausea,sweating,constipation,decreased appetite",,,,
,92,Complera,"$630,039,312","insomnia,abnormal dreams,headache,dizziness,diarrhea,nausea,rash,tiredness,depression,vomiting,stomach pain,skin discoloration,",,,,
,93,Cubicin,"$628,034,439","abnormal liver function tests,elevated CPK,shortness of breath",,,,
,94,Velcade,"$621,800,823","nausea,diarrhea,thrombocytopenia,neutropenia,peripheral neuropathy,fatigue,nerve pain,anemia,leukopenia,constipation,vomiting,lymphophenia,rash,fever,anorexia",,,,
,95,Strattera,"$616,604,042","stomach ache,decreased appetite,nausea,vomiting,dizziness,tiredness,mood swings,constipation,dry mouth,sexual side effects,problems passing urine,",,,,
,96,Viread,"$599,074,197","nausea,rash,diarrhea,headache,pain,depression,weakness,insomnia,itching,vomiting,dizziness, fever",,,,
,97,Stribild,"$598,844,153","nausea,diarrhea",,,,
,98,Welchol,"$573,939,710","constipation,indigestion,weakness,sore throat,flu-like symptoms,runny nose,muscle aches,vomiting,constipation,hypoglycemia,hypertension,back pain",,,,
,99,Combivent Respimat,"$573,179,772","ear infection, nose infection,throat infection,runny nose,cough,bronchitis,headache,shortness of breath",,,,
,100,Xifaxan,"$569,762,570","peripheral swelling,nausea,dizziness,fatigue, abdominal fluid buildup",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
